期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2023073,2023-06-27（二）,01,03,15,16,25,32,10,360075550,2285628386
2023072,2023-06-25（日）,02,06,10,24,25,33,09,390203400,2257958066
2023071,2023-06-22（四）,05,12,15,19,24,26,06,335357710,2261306658
2023070,2023-06-20（二）,03,05,25,31,32,33,04,358436376,2298227329
2023069,2023-06-18（日）,12,14,17,20,21,26,02,396617204,2216379497
2023068,2023-06-15（四）,11,12,15,18,29,33,02,370869162,2178451698
2023067,2023-06-13（二）,01,03,12,19,28,32,14,364444632,2103312244
2023066,2023-06-11（日）,02,07,08,10,26,31,06,393592226,2060647554
2023065,2023-06-08（四）,02,14,17,20,26,33,14,364732942,2102299471
2023064,2023-06-06（二）,01,07,11,12,16,18,04,358055754,2081628784
2023063,2023-06-04（日）,04,08,17,20,22,27,13,390718820,2130039756
2023062,2023-06-01（四）,11,19,23,24,26,33,15,359921314,2083569496
2023061,2023-05-30（二）,01,04,06,11,12,22,15,365432766,2002747701
2023060,2023-05-28（日）,09,11,17,19,30,31,11,402713176,1949837133
2023059,2023-05-25（四）,02,06,13,22,27,32,06,374631364,1922748082
2023058,2023-05-23（二）,10,17,22,26,30,33,11,372662796,2029768036
2023057,2023-05-21（日）,02,05,10,17,24,32,03,396913794,2012616989
2023056,2023-05-18（四）,08,14,15,18,23,33,08,372532958,2067478767
2023055,2023-05-16（二）,03,04,20,23,27,32,13,370786668,2076855754
2023054,2023-05-14（日）,05,06,09,10,15,26,12,394464450,2012386157
2023053,2023-05-11（四）,01,07,14,20,27,30,15,364282626,2004355202
2023052,2023-05-09（二）,03,04,05,08,12,17,06,358038114,1998828962
2023051,2023-05-07（日）,22,26,29,30,32,33,14,388332454,2041647521
2023050,2023-05-04（四）,02,07,09,14,22,23,05,359185180,1975368056
2023049,2023-05-02（二）,05,07,14,23,25,27,02,328857030,1961601481
2023048,2023-04-30（日）,02,03,10,24,28,30,08,362109840,1949270613
2023047,2023-04-27（四）,05,07,14,23,31,33,07,373486114,1990369107
2023046,2023-04-25（二）,06,08,17,25,26,28,03,364967218,2028047147
2023045,2023-04-23（日）,03,06,12,21,27,28,04,398638950,2001600001
2023044,2023-04-20（四）,02,08,15,22,24,26,16,375494004,2012948026
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2023043,2023-04-18（二）,05,08,12,20,24,28,10,370609676,1996962618
2023042,2023-04-16（日）,10,17,20,23,27,30,10,406450374,2044443036
2023041,2023-04-13（四）,01,06,12,13,15,24,06,379030400,2049048265
2023040,2023-04-11（二）,09,16,17,24,29,31,08,372777348,2006881397
2023039,2023-04-09（日）,02,03,09,13,19,28,09,409186858,1976860679
2023038,2023-04-06（四）,02,09,14,17,31,33,08,368841578,1948188487
2023037,2023-04-04（二）,08,23,25,26,29,31,12,357460864,1956183761
2023036,2023-04-02（日）,13,14,18,19,24,30,09,402105258,1993133574
2023035,2023-03-30（四）,01,04,09,10,20,33,06,376157550,2075773039
2023034,2023-03-28（二）,02,03,09,11,12,17,15,371464196,2074219579
2023033,2023-03-26（日）,08,09,13,23,24,26,05,407044870,2042293077
2023032,2023-03-23（四）,06,19,20,26,28,33,01,378271328,2004521709
2023031,2023-03-21（二）,07,14,27,29,31,33,05,377795536,2031724589
2023030,2023-03-19（日）,02,03,07,16,30,31,06,407635670,1984712961
2023029,2023-03-16（四）,03,07,12,24,28,33,08,373970632,1968119308
2023028,2023-03-14（二）,05,07,10,17,20,22,14,378131048,1940352740
2023027,2023-03-12（日）,08,10,22,27,32,33,08,405939502,1887143965
2023026,2023-03-09（四）,01,18,26,30,31,33,03,382398740,1865260832
2023025,2023-03-07（二）,04,16,20,21,31,32,14,383537242,1861412948
2023024,2023-03-05（日）,03,06,09,17,27,28,03,424465912,1857117376
2023023,2023-03-02（四）,05,08,10,15,24,25,09,394377912,1904715322
2023022,2023-02-28（二）,10,11,18,19,23,31,03,393991274,2109715322
2023021,2023-02-26（日）,02,05,06,19,21,27,04,430229092,2042737116
2023020,2023-02-23（四）,01,12,17,18,26,27,05,394774502,2083313411
2023019,2023-02-21（二）,06,12,26,28,29,32,15,399695170,2024791190
2023018,2023-02-19（日）,10,12,17,19,25,31,13,428078014,1996089903
2023017,2023-02-16（四）,05,11,18,20,26,28,12,385010210,1912869860
2023016,2023-02-14（二）,14,16,19,23,28,30,03,363237418,1890499018
2023015,2023-02-12（日）,02,03,14,21,29,32,08,392727530,1840337997
2023014,2023-02-09（四）,06,07,18,23,27,30,05,354854954,1855218930
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2023013,2023-02-07（二）,06,10,14,22,23,33,13,351959204,1832147989
2023012,2023-02-05（日）,03,04,07,22,26,30,06,377681908,1776074467
2023011,2023-02-02（四）,06,07,16,17,21,22,04,344777252,1790457577
2023010,2023-01-31（二）,04,05,13,18,27,29,12,335698884,1813355120
2023009,2023-01-29（日）,03,04,19,23,30,32,06,370445322,1812003410
2023008,2023-01-17（二）,05,13,18,20,26,28,06,367864780,1753087580
2023007,2023-01-15（日）,05,06,09,22,25,31,03,357680590,1745872298
2023006,2023-01-12（四）,02,10,12,14,24,26,05,341187596,1711353726
2023005,2023-01-10（二）,02,06,08,13,14,19,16,331127174,1726038229
2023004,2023-01-08（日）,01,07,15,16,20,25,16,362777504,1670832253
2023003,2023-01-05（四）,05,08,18,25,30,32,06,332514694,1656261800
2023002,2023-01-03（二）,02,06,10,16,18,22,13,317440920,1652047889
2023001,2023-01-01（日）,09,16,18,22,28,32,02,349018800,1631485850
2022150,2022-12-29（四）,01,07,11,12,22,28,05,322732470,1613770461
2022149,2022-12-27（二）,02,22,26,29,32,33,14,305443962,1619210281
2022148,2022-12-25（日）,02,15,16,17,21,31,14,328466772,1596182866
2022147,2022-12-22（四）,02,03,07,13,20,30,10,308727648,1587565859
2022146,2022-12-20（二）,06,07,13,18,26,31,06,319241960,1643604313
2022145,2022-12-18（日）,03,21,25,30,31,33,11,366333090,1651431252
2022144,2022-12-15（四）,07,20,22,23,31,32,05,400859910,1615187506
2022143,2022-12-13（二）,07,08,13,29,30,33,03,397641696,1612687877
2022142,2022-12-11（日）,01,03,13,16,21,27,03,440572602,1636406391
2022141,2022-12-08（四）,05,12,13,17,20,27,14,415110854,1674155872
2022140,2022-12-06（二）,08,09,18,19,20,27,15,397499610,1702647485
2022139,2022-12-04（日）,06,07,09,16,17,19,14,421220444,1751181135
2022138,2022-12-01（四）,02,14,19,21,25,28,11,382295872,1744972360
2022137,2022-11-29（二）,08,21,23,27,28,33,01,380398430,1696427005
2022136,2022-11-27（日）,08,10,14,15,18,22,08,412826960,1678628784
2022135,2022-11-24（四）,09,11,13,24,28,32,06,402652460,1733838061
2022134,2022-11-22（二）,01,05,14,17,24,31,14,404859714,1728998506
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022133,2022-11-20（日）,05,08,16,17,21,25,12,457083562,1713363599
2022132,2022-11-17（四）,01,03,18,26,32,33,04,439981994,1698530418
2022131,2022-11-15（二）,03,05,10,13,19,29,06,425292626,1640635486
2022130,2022-11-13（日）,02,08,15,17,26,28,12,446023212,1689813201
2022129,2022-11-10（四）,10,12,14,22,24,27,07,430007836,1908461423
2022128,2022-11-08（二）,03,12,18,24,27,29,01,420999886,1889014542
2022127,2022-11-06（日）,03,04,09,10,29,33,13,455409958,1869259580
2022126,2022-11-03（四）,01,13,15,17,26,33,13,436137344,1807038683
2022125,2022-11-01（二）,02,03,07,12,20,31,16,429659904,1762667038
2022124,2022-10-30（日）,05,10,13,18,24,26,01,383396494,1740587803
2022123,2022-10-27（四）,10,13,16,20,21,25,05,360850820,1693327054
2022122,2022-10-25（二）,06,08,17,19,24,28,05,350001646,1677059125
2022121,2022-10-23（日）,12,17,22,27,30,31,02,380066114,1769892531
2022120,2022-10-20（四）,02,15,19,26,27,29,02,355500194,1742358177
2022119,2022-10-18（二）,02,05,15,18,26,27,04,341495720,1899873541
2022118,2022-10-16（日）,02,06,07,11,14,33,08,374309728,1910541782
2022117,2022-10-13（四）,04,13,17,18,28,29,06,345578024,1901177457
2022116,2022-10-11（二）,08,14,26,27,30,33,01,337975208,1923415752
2022115,2022-10-09（日）,06,07,18,20,27,29,09,359461828,1849681926
2022114,2022-10-06（四）,01,05,15,19,26,29,13,347069064,1986647604
2022113,2022-09-29（四）,13,14,20,24,27,29,02,363604180,1991635746
2022112,2022-09-27（二）,03,05,08,17,25,31,01,348893862,1937385782
2022111,2022-09-25（日）,02,10,11,13,28,31,01,385923798,1901720272
2022110,2022-09-22（四）,09,13,15,18,20,28,15,352346658,1836366779
2022109,2022-09-20（二）,04,11,13,19,22,33,11,349805376,1811161575
2022108,2022-09-18（日）,01,07,13,17,18,31,15,379260702,1790162397
2022107,2022-09-15（四）,03,09,11,15,19,28,16,342747048,1794077479
2022106,2022-09-13（二）,17,20,22,23,24,31,01,336123528,1800820638
2022105,2022-09-11（日）,06,12,13,15,21,23,15,357410590,1747497631
2022104,2022-09-08（四）,01,08,19,25,26,31,01,337087306,1704610228
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022103,2022-09-06（二）,06,09,12,14,20,28,10,331343836,1753950406
2022102,2022-09-04（日）,09,10,12,18,29,32,14,360805992,1772160912
2022101,2022-09-01（四）,04,16,18,19,27,28,04,342584116,1742459306
2022100,2022-08-30（二）,02,06,07,15,20,21,15,338953236,1869582122
2022099,2022-08-28（日）,01,11,23,24,26,32,15,368635154,1867860655
2022098,2022-08-25（四）,02,03,04,06,21,33,05,339839938,1853286941
2022097,2022-08-23（二）,04,05,10,13,30,31,14,339168020,1876944863
2022096,2022-08-21（日）,03,16,17,19,25,33,07,374401638,1824688735
2022095,2022-08-18（四）,04,13,14,18,20,28,08,339954958,2028343930
2022094,2022-08-16（二）,06,11,13,16,19,31,02,333751422,2024071723
2022093,2022-08-14（日）,21,22,24,28,29,32,14,363673578,1991811868
2022092,2022-08-11（四）,07,10,16,20,21,27,11,337222664,1927997908
2022091,2022-08-09（二）,08,18,20,22,24,28,10,335981918,1983706692
2022090,2022-08-07（日）,01,04,25,27,29,30,07,365943774,1985834009
2022089,2022-08-04（四）,02,07,15,29,31,33,15,342434670,2006110048
2022088,2022-08-02（二）,03,09,15,17,20,22,06,340253450,1970007210
2022087,2022-07-31（日）,05,06,09,13,23,25,08,370042706,2038263308
2022086,2022-07-28（四）,01,04,08,21,23,24,11,345421240,2050676797
2022085,2022-07-26（二）,07,09,14,31,32,33,13,341538762,2041516396
2022084,2022-07-24（日）,03,18,23,24,25,32,09,368808592,2055734480
2022083,2022-07-21（四）,08,12,13,14,19,20,05,347550570,2040473284
2022082,2022-07-19（二）,04,10,11,23,30,32,14,347371994,2063526963
2022081,2022-07-17（日）,04,08,11,21,27,30,01,373064250,2018613381
2022080,2022-07-14（四）,05,12,15,17,18,27,04,342797508,1986021667
2022079,2022-07-12（二）,01,09,15,17,22,23,16,341273762,1982330237
2022078,2022-07-10（日）,01,04,05,15,17,31,09,366650644,1919037561
2022077,2022-07-07（四）,03,17,18,19,20,27,16,345118818,1909641199
2022076,2022-07-05（二）,08,09,10,13,24,29,02,342718328,1930610784
2022075,2022-07-03（日）,01,02,04,25,26,30,10,379959636,1946747172
2022074,2022-06-30（四）,05,07,15,19,29,33,15,354915638,1928690407
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022073,2022-06-28（二）,06,10,14,15,26,29,12,352213628,1902372906
2022072,2022-06-26（日）,05,14,15,16,18,32,12,385506202,1879381753
2022071,2022-06-23（四）,04,07,15,18,29,33,01,354289328,1866155263
2022070,2022-06-21（二）,04,06,09,27,28,33,02,356598990,1847642672
2022069,2022-06-19（日）,06,07,13,19,26,29,08,380359658,1839751672
2022068,2022-06-16（四）,07,12,15,24,26,29,06,354071622,1911353650
2022067,2022-06-14（二）,01,05,13,21,26,29,15,347891686,1899875782
2022066,2022-06-12（日）,06,11,14,20,27,30,09,370987262,1900729226
2022065,2022-06-09（四）,09,14,18,23,28,31,02,348395414,2051850948
2022064,2022-06-07（二）,04,06,12,13,17,31,16,340689068,2025619908
2022063,2022-06-05（日）,06,08,09,17,22,31,11,360023818,2036171824
2022062,2022-06-02（四）,16,18,20,21,23,33,05,329515310,2113191829
2022061,2022-05-31（二）,01,03,16,18,29,33,06,331252342,2089196019
2022060,2022-05-29（日）,16,18,19,24,28,32,01,361140396,2044441141
2022059,2022-05-26（四）,06,09,18,19,29,33,06,340378840,1985420373
2022058,2022-05-24（二）,06,13,14,23,31,33,01,336926030,2046143432
2022057,2022-05-22（日）,12,15,20,26,30,33,16,378857894,2045497453
2022056,2022-05-19（四）,01,06,11,14,17,26,15,352329270,2004226992
2022055,2022-05-17（二）,02,04,09,26,28,33,03,350153658,1971539174
2022054,2022-05-15（日）,08,12,21,27,28,33,11,391678014,1941352325
2022053,2022-05-12（四）,10,14,18,23,27,33,15,356510652,2046352325
2022052,2022-05-10（二）,07,24,27,29,31,32,15,359187786,1997206997
2022051,2022-05-08（日）,02,05,11,17,21,33,01,389679034,1951616776
2022050,2022-05-05（四）,03,05,08,14,27,33,08,363371278,1916892944
2022049,2022-05-03（二）,02,04,07,18,25,26,10,337463590,1949357745
2022048,2022-05-01（日）,05,07,17,20,26,31,14,357972850,1882359418
2022047,2022-04-28（四）,03,07,08,14,27,30,09,360230056,1833014021
2022046,2022-04-26（二）,02,11,24,25,27,30,14,358743356,1901913181
2022045,2022-04-24（日）,03,12,17,18,19,28,04,389120778,1885303642
2022044,2022-04-21（四）,01,07,08,21,23,29,06,362459788,1872712376
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022043,2022-04-19（二）,02,17,20,23,25,27,08,350215018,1883060805
2022042,2022-04-17（日）,05,10,11,21,22,30,13,376726628,1885518647
2022041,2022-04-14（四）,05,07,21,22,24,29,14,348280000,1878895566
2022040,2022-04-12（二）,03,12,14,16,31,33,12,343211044,1832633915
2022039,2022-04-10（日）,02,06,07,10,15,20,05,375104494,1873384741
2022038,2022-04-07（四）,09,12,13,16,24,32,04,348860576,1841833878
2022037,2022-04-05（二）,01,10,13,20,22,32,14,332623306,1812767035
2022036,2022-04-03（日）,02,03,14,16,26,31,02,362126634,1760101650
2022035,2022-03-31（四）,08,12,13,19,23,25,15,353577746,1736599330
2022034,2022-03-29（二）,14,17,26,31,32,33,10,361289854,1729816605
2022033,2022-03-27（日）,05,12,19,22,25,26,05,392018786,1724489453
2022032,2022-03-24（四）,04,10,11,14,23,32,07,365937174,1723412804
2022031,2022-03-22（二）,01,10,11,22,26,32,07,353060708,1696267600
2022030,2022-03-20（日）,12,23,24,26,27,30,05,376910184,1797209652
2022029,2022-03-17（四）,03,08,10,13,26,32,08,354275468,1840565291
2022028,2022-03-15（二）,05,11,20,22,23,29,09,359741624,1854403191
2022027,2022-03-13（日）,14,15,18,19,26,32,09,407429120,1850108360
2022026,2022-03-10（四）,03,04,10,15,22,24,02,390646552,1820096321
2022025,2022-03-08（二）,06,19,24,25,28,32,04,380028752,1800801596
2022024,2022-03-06（日）,07,09,10,14,19,24,15,412478136,1733800692
2022023,2022-03-03（四）,07,12,17,19,24,25,02,386299738,1667173674
2022022,2022-03-01（二）,01,07,11,15,17,19,06,374172850,1651680455
2022021,2022-02-27（日）,03,07,22,24,26,31,14,413793268,1653333569
2022020,2022-02-24（四）,09,11,14,22,30,32,01,376104336,1660696455
2022019,2022-02-22（二）,05,06,14,20,21,25,08,374092592,1587422145
2022018,2022-02-20（日）,07,11,16,17,30,32,16,392699896,1612631799
2022017,2022-02-17（四）,06,09,24,29,30,32,07,367332144,1541904440
2022016,2022-02-15（二）,05,10,19,20,29,31,14,370604868,1515799969
2022015,2022-02-13（日）,06,14,16,27,28,31,07,387014176,1541699154
2022014,2022-02-10（四）,06,07,13,14,15,27,04,353937416,1544973715
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2022013,2022-02-08（二）,02,03,04,07,10,18,15,376000418,1526180218
2022012,2022-01-27（四）,04,07,08,29,30,31,01,432967098,1457999052
2022011,2022-01-25（二）,06,15,23,24,25,33,15,379627650,1445932371
2022010,2022-01-23（日）,12,18,19,20,21,32,15,403819420,1396071026
2022009,2022-01-20（四）,04,15,17,19,25,28,16,381172430,1375659920
2022008,2022-01-18（二）,02,03,07,09,20,21,13,377713752,1295623770
2022007,2022-01-16（日）,01,20,22,23,25,28,16,417998504,1254497537
2022006,2022-01-13（四）,03,06,09,15,22,31,02,389820756,1172781808
2022005,2022-01-11（二）,07,10,12,16,19,31,16,388503758,1156142875
2022004,2022-01-09（日）,05,19,24,28,30,32,14,441401912,1091893203
2022003,2022-01-06（四）,02,05,16,17,18,30,06,410382612,1108650848
2022002,2022-01-04（二）,02,12,21,23,25,31,08,408646714,1091513907
2022001,2022-01-02（日）,06,13,15,17,20,21,03,447434510,1079698248
2021150,2021-12-30（四）,09,14,20,21,24,26,04,456402254,1022824601
2021149,2021-12-28（二）,05,10,15,18,19,32,05,425925826,1140585301
2021148,2021-12-26（日）,10,12,15,17,19,20,08,459686850,1117570138
2021147,2021-12-23（四）,05,10,11,13,27,28,09,457370132,1099867308
2021146,2021-12-21（二）,07,09,21,22,26,32,03,480619582,1107375000
2021145,2021-12-19（日）,04,07,10,14,16,26,09,517254362,1064375720
2021144,2021-12-16（四）,02,05,13,15,23,26,07,483556078,1036483149
2021143,2021-12-14（二）,01,09,11,13,20,29,09,475857912,1002138181
2021142,2021-12-12（日）,04,07,17,19,20,24,16,509166454,1142703731
2021141,2021-12-09（四）,01,14,19,23,26,30,10,483132724,1099283201
2021140,2021-12-07（二）,05,10,16,26,27,33,01,479975520,1066087178
2021139,2021-12-05（日）,12,14,19,23,24,27,01,531219172,1090940461
2021138,2021-12-02（四）,11,14,15,16,27,32,09,486491502,1065047563
2021137,2021-11-30（二）,03,07,10,14,21,24,01,474456734,1127353431
2021136,2021-11-28（日）,02,06,09,15,19,28,16,517068910,1148127692
2021135,2021-11-25（四）,03,10,17,19,21,31,04,486663630,1118152404
2021134,2021-11-23（二）,01,02,16,19,25,31,08,472467398,1015069784
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2021133,2021-11-21（日）,01,03,12,19,27,31,10,511607016,994690824
2021132,2021-11-18（四）,01,04,06,14,20,28,08,490071244,973341811
2021131,2021-11-16（二）,08,11,18,19,20,24,01,465860738,957547844
2021130,2021-11-14（日）,08,09,15,24,26,30,06,398037824,914060182
2021129,2021-11-11（四）,04,15,21,27,28,29,10,365299936,929943762
2021128,2021-11-09（二）,05,17,20,21,23,33,04,349441520,920399839
2021127,2021-11-07（日）,07,15,16,20,27,29,07,365976552,877334837
2021126,2021-11-04（四）,19,20,23,27,28,31,01,358964852,877369730
2021125,2021-11-02（二）,14,19,20,23,24,31,09,354978672,846489745
2021124,2021-10-31（日）,01,03,18,22,29,32,02,394848530,823606529
2021123,2021-10-28（四）,06,14,15,19,29,31,05,366471258,798569016
2021122,2021-10-26（二）,04,05,12,15,18,28,07,360872924,771249437
2021121,2021-10-24（日）,04,05,12,16,22,30,15,390361524,751815051
2021120,2021-10-21（四）,01,07,08,12,13,18,05,355518696,734418962
2021119,2021-10-19（二）,03,09,10,11,28,29,13,356935346,904876996
2021118,2021-10-17（日）,02,06,14,18,20,31,13,386079710,923998119
2021117,2021-10-14（四）,03,05,17,21,27,33,04,358589610,896904658
2021116,2021-10-12（二）,06,14,17,18,31,33,06,355338790,897877549
2021115,2021-10-10（日）,02,10,12,15,24,27,08,380172848,851679247
2021114,2021-10-07（四）,04,06,08,14,24,27,02,337378334,837386111
2021113,2021-10-05（二）,04,07,10,22,27,30,02,293434838,783403562
2021112,2021-09-30（四）,05,06,21,25,28,33,07,370338224,797853981
2021111,2021-09-28（二）,17,20,22,23,26,28,06,358360092,883991506
2021110,2021-09-26（日）,10,13,15,24,31,32,02,394569218,850654756
2021109,2021-09-23（四）,02,03,10,17,20,26,16,366715360,810527410
2021108,2021-09-21（二）,11,15,18,24,26,32,09,339998838,781106313
2021107,2021-09-19（日）,02,03,17,19,25,30,01,367139964,758280964
2021106,2021-09-16（四）,01,04,07,14,30,31,03,364122996,738077667
2021105,2021-09-14（二）,10,14,15,22,27,32,09,357292170,712816451
2021104,2021-09-12（日）,01,07,17,20,22,28,15,397369092,708465505
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2021103,2021-09-09（四）,10,13,15,25,29,30,15,369736978,664617126
2021102,2021-09-07（二）,05,09,15,24,27,30,09,357853464,599019763
2021101,2021-09-05（日）,02,04,12,22,29,31,01,393612094,742311198
2021100,2021-09-02（四）,07,09,12,13,14,29,16,364068238,711544497
2021099,2021-08-31（二）,09,11,17,18,20,27,15,353159630,694710436
2021098,2021-08-29（日）,01,10,13,18,26,32,05,390403928,673059288
2021097,2021-08-26（四）,03,11,12,13,25,28,12,355020594,637412452
2021096,2021-08-24（二）,01,07,11,14,15,26,11,349161898,822388985
2021095,2021-08-22（日）,08,12,17,24,27,28,13,384516464,864489999
2021094,2021-08-19（四）,09,11,24,25,28,33,15,353340702,819842497
2021093,2021-08-17（二）,05,11,15,23,28,33,03,346398722,746968208
2021092,2021-08-15（日）,02,07,08,10,12,31,03,382276564,721827132
2021091,2021-08-12（四）,04,06,16,24,26,33,16,352636492,697092670
2021090,2021-08-10（二）,05,06,12,14,27,28,08,340567382,658126685
2021089,2021-08-08（日）,01,02,07,13,23,24,12,378094626,725193394
2021088,2021-08-05（四）,04,12,15,16,19,26,06,339080722,932658139
2021087,2021-08-03（二）,02,13,16,19,23,24,04,335386836,926596691
2021086,2021-08-01（日）,06,08,10,14,28,29,01,363965626,934781421
2021085,2021-07-29（四）,05,06,07,11,14,20,02,343883552,865785162
2021084,2021-07-27（二）,05,07,09,11,21,28,01,338765612,836571971
2021083,2021-07-25（日）,04,09,11,25,28,33,04,367542044,894543509
2021082,2021-07-22（四）,03,06,11,13,26,32,05,344368726,1007589655
2021081,2021-07-20（二）,01,03,05,18,22,23,01,344437194,997378346
2021080,2021-07-18（日）,05,08,22,23,24,29,09,376533622,953249373
2021079,2021-07-15（四）,01,03,10,24,28,29,13,345574370,976221781
2021078,2021-07-13（二）,04,06,15,26,27,31,12,341551308,965580237
2021077,2021-07-11（日）,08,15,17,25,27,30,10,377616968,949366069
2021076,2021-07-08（四）,03,09,21,23,30,32,06,347734992,963078086
2021075,2021-07-06（二）,12,15,16,21,22,29,01,347517338,950267665
2021074,2021-07-04（日）,04,05,09,14,25,27,07,382266836,898477373
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2021073,2021-07-01（四）,01,06,18,22,24,25,08,353932932,936827442
2021072,2021-06-29（二）,01,09,15,16,19,21,15,351515940,906924437
2021071,2021-06-27（日）,01,07,24,31,32,33,08,384399388,850234438
2021070,2021-06-24（四）,01,05,11,15,16,29,15,356032100,840734349
2021069,2021-06-22（二）,06,11,18,20,23,26,05,348547620,805184330
2021068,2021-06-20（日）,04,14,18,24,31,32,15,381950996,784841657
2021067,2021-06-17（四）,01,11,19,23,25,29,09,352986918,749337326
2021066,2021-06-15（二）,02,06,19,26,30,33,15,343529368,738667046
2021065,2021-06-13（日）,01,04,08,19,29,33,16,362527724,753364365
2021064,2021-06-10（四）,04,06,08,15,16,18,16,353338262,688856687
2021063,2021-06-08（二）,04,05,06,09,23,24,09,370142008,647417696
2021062,2021-06-06（日）,12,13,15,20,22,25,10,405763536,727417696
2021061,2021-06-03（四）,04,09,12,18,20,23,01,376779952,694648802
2021060,2021-06-01（二）,10,11,17,20,29,30,15,365484344,644294438
2021059,2021-05-30（日）,01,09,11,18,32,33,14,407754588,618904511
2021058,2021-05-27（四）,09,11,13,18,19,28,14,382666074,520502015
2021057,2021-05-25（二）,05,06,09,17,25,33,16,379559152,478217025
2021056,2021-05-23（日）,08,21,22,23,29,32,01,410076324,444149990
2021055,2021-05-20（四）,03,11,12,16,22,28,10,376647950,425721551
2021054,2021-05-18（二）,07,13,21,22,24,31,02,371689954,526556537
2021053,2021-05-16（日）,07,10,14,16,24,33,16,398009388,473183576
2021052,2021-05-13（四）,03,04,06,19,21,30,14,376039676,413602410
2021051,2021-05-11（二）,08,09,10,19,27,29,15,377624458,335549357
2021050,2021-05-09（日）,02,09,10,16,25,28,08,403433980,336133387
2021049,2021-05-06（四）,04,11,13,22,25,32,01,375111072,409954275
2021048,2021-05-04（二）,04,15,17,22,29,32,03,339198590,346939552
2021047,2021-05-02（日）,03,07,13,16,24,29,01,367123752,291180168
2021046,2021-04-29（四）,05,09,13,21,28,33,06,377425810,255412592
2021045,2021-04-27（二）,01,04,14,15,17,32,02,377279966,326838472
2021044,2021-04-25（日）,05,07,14,17,26,28,13,418973684,295504539
期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2021043,2021-04-22（四）,02,03,17,18,23,24,01,389948810,243085282
